date,open,close,high,low
2017/5/24,225.5,224.5,224.5,225.5
2017/5/25,225,225.09,225,225.25
2017/5/26,224.75,225.62,224.75,226
2017/5/31,222.5,222.25,222,222.5
2017/6/1,222.5,221.5,221.5,222.5
2017/6/2,220,219,219,220
2017/6/5,219.5,223.25,219.5,223.5
2017/6/6,224,225,224,225
2017/6/7,225.75,225.02,225,225.75
2017/6/8,222,222.1,222,222.25
2017/6/9,221,220.16,220,221
2017/6/12,220.75,222.53,220.5,224
2017/6/13,222,222.02,222,222.25
2017/6/14,218,218.6,218,219.5
2017/6/15,217.5,219.58,217.5,220.5
2017/6/16,218.25,218,218,218.25
2017/6/19,218.5,218.61,218.5,218.75
2017/6/20,219,219.18,219,219.25
2017/6/21,218,217,217.5,218
2017/6/22,218,220.2,218,220.25
2017/6/23,218.5,219,218.5,219
2017/6/26,219.25,219.26,219.25,219.5
2017/6/27,217.5,217.83,217.25,218
2017/6/28,217.5,216.68,216.5,217.5
2017/6/29,217,216.69,216.5,217
2017/6/30,215.5,215.32,215.5,215.65
2017/7/3,216.75,216.61,216.5,216.75
2017/7/4,213.75,213,213.25,213.75
2017/7/5,215.5,215.11,214.5,215.5
2017/7/6,214.25,214.03,213.75,214.5
2017/7/7,213.5,213.46,213,213.75
2017/7/10,213.25,212.87,212.5,213.5
2017/7/11,212.25,211.48,211.3,212.25
2017/7/12,212.5,212.54,212.5,212.75
2017/7/13,215.25,215.21,215.2,215.25
2017/7/14,213,212.87,212.75,213
2017/7/17,216.5,216.25,216,216.5
2017/7/18,216,216.03,216,216.25
2017/7/19,217.75,216.47,216.25,217.75
2017/7/20,216,215.25,215.25,216
2017/7/21,216.5,216.61,216.35,216.75
2017/7/24,218.5,218.19,218,218.5
2017/7/25,218.75,218.25,217.25,218.75
2017/7/26,216,216.19,216,216.5
2017/7/27,215,217,215,217.25
2017/7/28,217.5,216,216,217.5
2017/7/31,218,217.75,217.7,218
2017/8/1,218.36,218.36,218.36,218.36
2017/8/2,219.23,219,219.23,219.66
2017/8/3,219.71,219,219.71,219.71
2017/8/4,223.25,223.78,223.1,223.95
2017/8/7,224.16,222.8,222.85,224.16
2017/8/8,223.9,224.33,223.9,224.88
2017/8/9,225.12,225.26,225.12,225.4
2017/8/10,224.39,224.07,224,224.39
2017/8/11,226.28,226.28,226.28,226.28
2017/8/14,227.88,225.43,225.33,227.88
2017/8/15,223,221.72,221.72,223
2017/8/16,220.98,222.51,220.98,223
2017/8/17,226,225.09,225,226
2017/8/18,225.35,226.08,225.27,226.68
2017/8/21,226.15,225.32,225,226.15
2017/8/22,226.8,225.19,224.77,226.8
2017/8/23,224.88,224.88,224.38,224.88
2017/8/24,225.09,224.64,224.55,225.09
2017/8/25,224.5,224.79,224.5,225
2017/8/28,225,224.27,224,225
2017/8/29,224.71,226.05,224.71,226.8
2017/8/30,226.8,226.1,226,226.85
2017/8/31,225,224.72,224.57,225
2017/9/1,226.5,226.36,226,226.5
2017/9/4,229,228.37,228.37,229
2017/9/5,227.19,227.24,227,227.55
2017/9/6,226.76,227.04,226.63,227.5
2017/9/7,226.3,226,226,226.53
2017/9/8,224.96,227.32,224.96,227.63
2017/9/11,225,225.45,225,225.5
2017/9/12,223.5,223.23,222.7,223.5
2017/9/13,222.76,222.1,222,222.83
2017/9/14,222.69,221.5,221.31,222.69
2017/9/15,222.8,222.44,222,223
2017/9/18,219.15,219.36,219.15,219.5
2017/9/19,218.15,218.6,218.15,218.68
2017/9/20,218.15,217.28,217,218.15
2017/9/21,216.5,214.5,214.07,216.5
2017/9/22,213.6,215,213,215.03
2017/9/25,214.65,213.5,213,214.65
2017/9/26,213.7,216.07,213.7,216.26
2017/9/27,214,213.13,213.08,214
2017/9/28,212,211.76,211.55,212.08
2017/9/29,213.8,213.59,213.5,213.8
2017/10/9,210.88,210.95,210.88,211.46
2017/10/10,210.1,210.69,210,210.93
2017/10/11,212.68,212.52,212.52,212.68
2017/10/12,212.87,212.98,212.87,213.06
2017/10/13,213.1,213.55,213.1,213.79
2017/10/16,215.02,214.75,214.75,215.02
2017/10/17,212.75,213.01,212.75,213.04
2017/10/18,214.05,212.89,212.86,214.05
